seed,cmi_boundary_mcc,cmi_boundary_precision,cmi_boundary_recall,cmi_boundary_specificity,cmi_boundary_edge_rate,cmi_graph_mcc,cmi_graph_precision,cmi_graph_recall,cmi_graph_specificity,cmi_graph_edge_rate,do_boundary_mcc,do_boundary_precision,do_boundary_recall,do_boundary_specificity,do_boundary_edge_rate,do_graph_mcc,do_graph_precision,do_graph_recall,do_graph_specificity,do_graph_edge_rate,dibt_boundary_mcc,dibt_boundary_precision,dibt_boundary_recall,dibt_boundary_specificity,dibt_boundary_edge_rate,dibt_graph_mcc,dibt_graph_precision,dibt_graph_recall,dibt_graph_specificity,dibt_graph_edge_rate,delta_mcc_cmi,delta_mcc_do,viability_threshold,viability_intact_ood,viability_boundary_removed_ood
17,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.6454972243679028,0.5,1.0,0.8333333333333334,0.2857142857142857,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.2546440075000701,0.0,0.6705362518213785,0.7641666666666667,0.9066666666666666
18,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6604473247125351,0.7766666666666666,0.9016666666666666
19,0.8997354108424374,0.8571428571428571,1.0,0.9444444444444444,0.2916666666666667,0.8257228238447705,0.7272727272727273,1.0,0.9375,0.19642857142857142,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.10026458915756264,0.0,0.6657491669887858,0.7833333333333333,0.90625
20,0.6831300510639732,0.6,1.0,0.7777777777777778,0.4166666666666667,0.6183469424008423,0.47058823529411764,1.0,0.8125,0.30357142857142855,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.3168699489360268,0.0,0.6602895816004886,0.75625,0.90375
21,0.8997354108424374,0.8571428571428571,1.0,0.9444444444444444,0.2916666666666667,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.10026458915756264,0.0,0.6564514032985497,0.74625,0.9016666666666666
22,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.6454972243679028,0.5,1.0,0.8333333333333334,0.2857142857142857,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6682192203650771,0.75625,0.9058333333333334
23,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6641573059252468,0.7695833333333333,0.9104166666666667
24,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7424837043882184,0.6153846153846154,1.0,0.8958333333333334,0.23214285714285715,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.6713076705308821,0.775,0.8975
25,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.674948557710553,0.5333333333333333,1.0,0.8541666666666666,0.26785714285714285,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.18350341907227397,0.0,0.663160199434081,0.7620833333333333,0.9129166666666667
26,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7071067811865476,0.5714285714285714,1.0,0.875,0.25,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.18350341907227397,0.0,0.6690261640519062,0.7575,0.8983333333333333
27,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.18350341907227397,0.0,0.6623309233849669,0.7566666666666667,0.8983333333333333
28,0.8997354108424374,0.8571428571428571,1.0,0.9444444444444444,0.2916666666666667,0.7817359599705717,0.6666666666666666,1.0,0.9166666666666666,0.21428571428571427,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,1.0,1.0,1.0,1.0,0.25,0.9258200997725515,1.0,0.875,1.0,0.125,0.10026458915756264,0.0,0.6635711258230879,0.75375,0.8883333333333333
29,0.5310850045437944,0.46153846153846156,1.0,0.6111111111111112,0.5416666666666666,0.5075192189225524,0.36363636363636365,1.0,0.7083333333333334,0.39285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,0.46891499545620563,0.0,0.6504745952853938,0.7675,0.91125
